TripID;TaxiID;MonthS;DayS;YearS;Start_time;MonthE;DayE;YearE;End_time;New_Start_Time;New_End_time;Trip_Minutes;;;;;;;;;;;;;;;;;;;
763beb1bb8b03abe600ba2e7e7d980cd05f0fbe2;aaa;4;22;2016;17:15;4;22;2016;17:30;17:20;17:43;1380;3.7;;;32;7;14.75;3.15;0.00;1.00;$18.90;Credit Card;Taxi Affiliation Services;41.878.865.584;-87.625.192.142;POINT (-87.625192 41.878866);41.922.686.284;-87.649.488.729;POINT (-87.649489 41.922686);38
763c77039dc79d04171bfab2ce2c1853421dce2a;aaa;4;22;2016;9:00;4;22;2016;9:00;9:11;9:11;0;0;;;;;8.00;2.25;0.00;0.00;$10.25;Credit Card;Chicago Elite Cab Corp. (Chicago Carriag;;;;;;;
763e3d7f1fbc9704f475ecf913d8be79747f1c57;aaa;4;22;2016;12:30;4;22;2016;12:45;12:37;12:49;720;2.1;17031839100;17031842200;32;8;9.25;2.00;0.00;0.00;$11.25;Credit Card;Dispatch Taxi Affiliation;41.880.994.471;-87.632.746.489;POINT (-87.632746 41.880994);41.904.935.302;-87.649.907.226;POINT (-87.649907 41.904935);38
763e6487dedce62eee01750ddb379cf3e9680f64;aaa;4;22;2016;13:30;4;22;2016;13:45;13:35;13:51;960;0.1;17031281900;17031081500;28;8;9.25;2.00;0.00;0.00;$11.25;Credit Card;Blue Ribbon Taxi Association Inc.;41.879.255.084;-87.642.648.998;POINT (-87.642649 41.879255);41.892.507.781;-87.626.214.906;POINT (-87.626215 41.892508);29
763e7c7400d8bdb7a283be0479da27b460a03c20;aaa;4;22;2016;17:15;4;22;2016;17:15;17:22;17:28;360;1.1;17031320100;17031839100;32;32;5.50;2.00;0.00;0.00;$7.50;Credit Card;Choice Taxi Association;41.884.987.192;-87.620.992.913;POINT (-87.620993 41.884987);41.880.994.471;-87.632.746.489;POINT (-87.632746 41.880994);38
76403ca2623d26d2089a2bea5c79b119b5f056ee;bbb;4;22;2016;11:30;4;22;2016;11:30;11:31;11:31;0;0;;;;;37.50;7.50;0.00;0.00;$45.00;Credit Card;Chicago Elite Cab Corp. (Chicago Carriag;;;;;;;
764174e0616d9570a0661bbbe9e1d45dd64d0c23;bbb;4;22;2016;14:00;4;22;2016;14:45;14:06;14:48;2520;1.1;17031839100;17031980000;32;76;46.50;0.00;0.00;3.50;$50.00;Cash;Taxi Affiliation Services;41.880.994.471;-87.632.746.489;POINT (-87.632746 41.880994);4.197.907.082;-87.903.039.661;POINT (-87.90304 41.979071);38
7643031e8ec9d34e140e72ae5cfa0d692a7f76bd;bbb;4;22;2016;16:00;4;22;2016;16:00;16:00;16:00;0;0;;;;;6.50;1.50;0.00;0.00;$8.00;Credit Card;Chicago Elite Cab Corp. (Chicago Carriag;;;;;;;
76440a23013f1dbe4b90e2b72d9d1fdb9773c41b;bbb;4;22;2016;12:15;4;22;2016;12:15;12:15;12:23;480;1.9;;;8;24;8.25;0.00;0.00;0.00;$8.25;Cash;Taxi Affiliation Services;41.899.602.111;-87.633.308.037;POINT (-87.633308 41.899602);41.901.206.994;-87.676.355.989;POINT (-87.676356 41.901207);37
7645a3c4f0c5153a8ecf369d4455bbd7e97fbdc8;bbb;4;22;2016;16:30;4;22;2016;17:15;16:33;17:11;2280;20.09;;;76;;50.75;12.00;0.00;31.00;$93.75;Credit Card;;41.980.264.315;-87.913.624.596;POINT (-87.913625 41.980264);;;;75
